LCOE for steam/electric cracker ($/t-ethylene),,,,,,,,,,,,,,,
id_LC,h2_consumption,h2_production,elec_consumption,ethane_consumption,natgas_consumption,natgas_production,investment_cost,fixed_om_cost,variable_om_cost,modified capture cost,modified emissions cost,LCOE ($/t-ethylene),,,
NW_F-CC90-NGin-H2out,0.0,-89.27952089495109,4.994292947096104,20583111581.399403,47.39735404834374,0.0,280.92664042397126,153.76063060605685,-46.59224006526772,-93.49666758774485,111.56481360858811,20583111950.674706,,,
SW_F-CC90-NGin-H2out,0.0,-84.58168485677973,5.215050635215346,464.01125931296116,47.39735404834374,0.0,280.92664042397126,153.76063060605685,-46.59224006526772,-85.0355263301015,111.56481360858811,846.6662973829875,,,
TX_F-CC90-NGin-H2out,0.0,-59.51738057358297,3.763835340272455,464.01125931296116,46.11486217427719,0.0,280.92664042397126,153.76063060605685,-46.59224006526772,-80.45964940187135,111.56481360858811,873.5727714254049,,,
NCEN_F-CC90-NGin-H2out,0.0,-88.54423287615775,5.731123143688271,464.01125931296116,46.446764607091936,0.0,280.92664042397126,153.76063060605685,-46.59224006526772,-61.57193510158303,111.56481360858811,865.732823659349,,,
CEN_F-CC90-NGin-H2out,0.0,-82.44799136128839,4.686659628835166,464.01125931296116,46.446764607091936,0.0,280.92664042397126,153.76063060605685,-46.59224006526772,-70.92705908661095,111.56481360858811,861.4294776743375,,,
SE_F-CC90-NGin-H2out,0.0,-96.43765263457342,7.108900830988289,464.01125931296116,46.446764607091936,0.0,280.92664042397126,153.76063060605685,-46.59224006526772,-55.88775593296708,111.56481360858811,864.9013607568495,,,
MIDAT_F-CC90-NGin-H2out,0.0,-100.49169781224583,7.337416170368398,464.01125931296116,46.446764607091936,0.0,280.92664042397126,153.76063060605685,-46.59224006526772,-53.82040885052785,111.56481360858811,863.1431780009963,,,
NE_F-CC90-NGin-H2out,0.0,-106.76679360221198,8.836199985067925,464.01125931296116,46.446764607091936,0.0,280.92664042397126,153.76063060605685,-46.59224006526772,-45.065548931088514,111.56481360858811,867.1217259451691,,,
CA_F-H2in,7.422333633674275,0.0,0.0,20583111581.399403,0.0,0.0,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,43.52732939778871,20583111949.446396,,,
NW_F-H2in,6.951432458264674,0.0,0.0,20583111581.399403,0.0,0.0,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,43.52732939778871,20583111948.975494,,,
SW_F-H2in,6.585652158460256,0.0,0.0,464.01125931296116,0.0,0.0,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,43.52732939778871,831.22157407417,,,
TX_F-H2in,4.634109222392715,0.0,0.0,464.01125931296116,0.0,0.0,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,43.52732939778871,829.2700311381024,,,
NCEN_F-H2in,6.894181871021634,0.0,0.0,464.01125931296116,0.0,0.0,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,43.52732939778871,831.5301037867313,,,
CEN_F-H2in,6.419519700849975,0.0,0.0,464.01125931296116,0.0,0.0,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,43.52732939778871,831.0554416165597,,,
SE_F-H2in,7.508774935201725,0.0,0.0,464.01125931296116,0.0,0.0,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,43.52732939778871,832.1446968509114,,,
MIDAT_F-H2in,7.824428748672592,0.0,0.0,464.01125931296116,0.0,0.0,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,43.52732939778871,832.4603506643822,,,
NE_F-H2in,8.31301677105251,0.0,0.0,464.01125931296116,0.0,0.0,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,43.52732939778871,832.9489386867623,,,
CA_F-H2in-CH4out,72.67516460130251,0.0,0.0,20583111581.399403,0.0,-30.30749030499077,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,43.52732939778948,20583111984.391735,,,
NW_F-H2in-CH4out,68.06437477119104,0.0,0.0,20583111581.399403,0.0,-30.30749030499077,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,43.52732939778948,20583111979.780945,,,
SW_F-H2in-CH4out,64.48286728201067,0.0,0.0,464.01125931296116,0.0,-30.30749030499077,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,43.52732939778948,858.8112988927303,,,
TX_F-H2in-CH4out,45.37449636996258,0.0,0.0,464.01125931296116,0.0,-29.48742110872601,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,43.52732939778948,840.522997176947,,,
NCEN_F-H2in-CH4out,67.50381039120515,0.0,0.0,464.01125931296116,0.0,-29.69965088329266,236.76830652142303,129.58629749253777,-49.257270809000964,0.0,43.52732939778948,862.440081423623,,,
