Levelized cost for Ethanol Upgrade Production - $/MWh-fuel,,,,,,,,,,,,,,,,,
id_LC,h2_consumption - ethanol upgrade,elec_consumption - ethanol upgrade,elec_consumption - ethanol prod.,elec_production - ethanol upgrade,elec_production - ethanol prod.,biomass_consumption - ethanol prod.,natgas_consumption - ethanol prod.,investment_cost - ethanol upgrade,investment_cost - ethanol prod.,fixed_om_cost - ethanol upgrade,fixed_om_cost - ethanol prod.,variable_om_cost - ethanol upgrade,variable_om_cost - ethanol prod.,modified capture cost,modified emissions cost,LCOE ($/MWh-fuel),
SE_Ethanol_to_Diesel,0.445203250299962,0.0,1.1058700378204571,0.0,0.0,54.226830181782276,4.609891034860548,32.94383396942472,6.573147065040563e-06,18.049541328236973,1.3943039320060667e-06,10.573756333008005,-8.567839168721601,-10.9502043961468,7.033153881956911,109.47004441997244,
MIDAT_Ethanol_to_Diesel,0.46421169766811715,0.0,1.1388421426959883,0.0,0.0,54.226830181782276,4.610612297384648,32.94383396942472,6.573147065040563e-06,18.049541328236973,1.3943039320060667e-06,10.573756333008005,-8.567839168721601,-9.762431587836861,7.033153881956911,110.71051904305017,
NE_Ethanol_to_Diesel,0.4944304138252678,0.0,1.3734090466070026,0.0,0.0,54.226830181782276,4.610498269214171,32.94383396942472,6.573147065040563e-06,18.049541328236973,1.3943039320060667e-06,10.573756333008005,-8.567839168721601,-8.321556424122212,7.033153881956911,112.4160657986625,
CA_Ethanol_to_JetFuel,0.7435722110715606,0.0,1.0616058103300752,0.0,0.0,54.42919500629681,4.708089278824441,44.35867113581186,6.597676873400485e-06,24.30359709379617,1.3995072247225035e-06,14.045350129172764,-8.599812810994896,-18.141585405641933,6.994460030891814,123.90315047674275,
NW_Ethanol_to_JetFuel,0.6968334974726459,0.0,0.7769426407881576,0.0,0.0,54.42919500629681,4.708769795722381,44.35867113581186,6.597676873400485e-06,24.30359709379617,1.3995072247225035e-06,14.045350129172764,-8.599812810994896,-17.98920976346291,6.994460030891814,123.72480475267888,
SW_Ethanol_to_JetFuel,0.6571063134025231,0.0,0.8132626809803611,0.0,0.0,54.42919500629681,4.708698779267986,44.35867113581186,6.597676873400485e-06,24.30359709379617,1.3995072247225035e-06,14.045350129172764,-8.599812810994896,-16.387166501424673,6.994460030891814,125.32336985438482,
TX_Ethanol_to_JetFuel,0.4501552225152526,0.0,0.5876079022043309,0.0,0.0,54.42919500629681,4.594001689579014,44.35867113581186,6.597676873400485e-06,24.30359709379617,1.3995072247225035e-06,14.045350129172764,-8.599812810994896,-15.53463366012415,6.994460030891814,125.62859973633306,
NCEN_Ethanol_to_JetFuel,0.6729834095675864,0.0,0.8921414473719368,0.0,0.0,54.42919500629681,4.6271353471751695,44.35867113581186,6.597676873400485e-06,24.30359709379617,1.3995072247225035e-06,14.045350129172764,-8.599812810994896,-12.024475073694616,6.994460030891814,129.69925371257867,
CEN_Ethanol_to_JetFuel,0.6210051458608575,0.0,0.7365878599259046,0.0,0.0,54.42919500629681,4.627100873168182,44.35867113581186,6.597676873400485e-06,24.30359709379617,1.3995072247225035e-06,14.045350129172764,-8.599812810994896,-13.76358934999278,6.994460030891814,127.75257311112075,
SE_Ethanol_to_JetFuel,0.7447744276751074,0.0,1.1099969468687862,0.0,0.0,54.42919500629681,4.627094323106854,44.35867113581186,6.597676873400485e-06,24.30359709379617,1.3995072247225035e-06,14.045350129172764,-8.599812810994896,-10.991068599044075,6.994460030891814,131.0222656807653,
