UNSORTED,,,,,,,,,
id_LC,elec_production,elec_consumption,biomass_consumption,investment_cost,fixed_om_cost,variable_om_cost,modified capture cost,modified emissions cost,LCOE ($/MWh-fuel)
CEN_Gasoline_Gasification_CCS_31_Agri,0.0,1.384914227308479,53.12460070263751,28.906661669452195,23.550011690938565,12.368098159509202,-15.9191672149303,-0.0005537197572460214,103.4145655151584
SE_Gasoline_Gasification_CCS_31_Agri,0.0,2.0796824178597553,46.84146828299718,28.80546267625263,23.46756573089609,12.324798829553767,-12.538385803341576,-4.8818761380585226e-05,100.98054331545649
MIDAT_Gasoline_Gasification_CCS_31_Agri,0.0,2.1354407117849328,47.0017406481192,28.721420480260644,23.399097267786257,12.288840262582056,-11.306655244305082,0.00060424655552773,102.24048837278355
NE_Gasoline_Gasification_CCS_31_Agri,0.0,2.5458312863102597,47.63634167696745,28.393023521740975,23.131555055515523,12.148331273176762,-9.539809025805464,0.00039128831880489893,104.3156650762243
CA_Gasoline_Gasification_CCS_99_Herb,0.0,20.98723330429618,686.5876207681647,37.07028492029699,27.28471970477487,14.224509998020194,-63.047692385818195,-0.0004608761716058553,723.1062154335631
NW_Gasoline_Gasification_CCS_99_Herb,0.0,15.325499575682748,69.61164255024939,36.987902441092416,27.224083999964016,14.19289841473653,-62.57811620888765,0.0003025910157508935,100.7642133638532
SW_Gasoline_Gasification_CCS_99_Herb,0.0,16.148793099279146,62.588720855083274,37.23430457517676,27.40544255109478,14.287447178722347,-56.79112778901157,-0.0006524596864198175,100.87292801065834
TX_Gasoline_Gasification_CCS_99_Herb,0.0,11.641966981150793,69.62489087301587,37.15119228817859,27.344269688257512,14.255555555555556,-53.844904389298904,0.00011480560807046262,106.1730858024675
NCEN_Gasoline_Gasification_CCS_99_Herb,0.0,17.492449590299934,52.25927544057729,36.766385377727175,27.061041525466173,14.107898483137793,-41.95028271960231,5.9905379021249346e-05,105.73682760298509
CEN_Gasoline_Gasification_CCS_99_Herb,0.0,14.52948563010519,55.67463726603783,36.987902441092416,27.224083999964016,14.19289841473653,-47.762084898142696,0.0003025910157995529,100.84722544480911
SE_Gasoline_Gasification_CCS_99_Herb,0.0,21.93195276913183,49.70701657185258,37.05011311054565,27.269872714087132,14.216769725451398,-38.043851495719245,-0.0006044050447229116,112.13126899030465
MIDAT_Gasoline_Gasification_CCS_99_Herb,0.0,22.461419483052097,49.99329807645003,36.845970213493395,27.119618089992198,14.1384365622079,-34.17932557456801,0.0006319848332936364,116.38004883546091
NE_Gasoline_Gasification_CCS_99_Herb,0.0,26.985566838855128,50.1994550088218,36.70692200204276,27.01727489292646,14.085081356596746,-29.190968281411735,-0.00036753503948186976,125.80296428279166
CA_Gasoline_Gasification_CCS_99_Wood,0.0,19.718473850446433,75.42415829613095,34.829242770167426,25.63525283274142,13.364583333333334,-63.591572613946816,0.00011480560804297085,105.3802532744808
NW_Gasoline_Gasification_CCS_99_Wood,0.0,14.461346796588842,74.34448902558367,34.90228046645605,25.689010527763244,13.392609161657113,-62.04338629287651,-0.0006044050447107262,100.74574528012768
SW_Gasoline_Gasification_CCS_99_Wood,0.0,15.279067412605835,67.44399811853246,35.22897631842335,25.929467399589438,13.517968015051741,-56.38064691934752,0.0005777255785229689,101.01940807043384
TX_Gasoline_Gasification_CCS_99_Wood,0.0,11.127011536528705,76.06769591807708,35.50789534583418,26.134759252608514,13.624994073863366,-55.01028937416536,8.299299060132685e-05,107.45214974573709
